"","YEAR","PRIMARY_SAMPLE_UNIT","lat","lon"
"342",2024,"1377",25.01669,-80.36726
"343",2024,"1378",24.54253,-81.40983
"344",2024,"1379",24.54274,-81.40787
"345",2024,"1380",24.47941,-81.71021
"346",2024,"1381",24.47847,-81.71773
"347",2024,"1382",24.45083,-81.87974
"348",2024,"1383",24.45091,-81.87213
"349",2024,"1384",24.62494,-81.10707
"350",2024,"1385",24.62098,-81.11491
"351",2024,"1386",24.95226,-80.4515
"352",2024,"1387",24.95004,-80.45431
"353",2024,"1388",24.92277,-80.50263
"354",2024,"1389",24.84229,-80.6233
"355",2024,"1390",25.20499,-80.21459
"356",2024,"1391",25.20192,-80.21719
"357",2024,"1392",25.03673,-80.34548
"358",2024,"1393",25.03498,-80.3463
"359",2024,"1394",25.0073,-80.37529
"360",2024,"1395",25.01387,-80.36854
"361",2024,"1396",24.47744,-81.72008
"362",2024,"1397",24.47787,-81.71698
"363",2024,"1398",25.20461,-80.21297
"364",2024,"1399",25.20891,-80.2167
"365",2024,"1401",24.53044,-81.873
"366",2024,"1411",24.52246,-81.65765
"367",2024,"1421",24.51829,-81.61917
"368",2024,"1444",25.34977,-80.18593
"369",2024,"1447",25.36388,-80.18706
"370",2024,"1448",25.36961,-80.17346
"371",2024,"1455",25.39288,-80.17099
"372",2024,"1456",25.36982,-80.15343
"373",2024,"1457",25.47532,-80.14076
"374",2024,"1470",24.52602,-81.53895
"375",2024,"1507",24.50521,-81.61752
"376",2024,"1533",24.83699,-80.6351
"377",2024,"1548",25.60906,-80.10007
"378",2024,"1558",24.48884,-81.68594
"379",2024,"1564",24.54153,-81.43008
"380",2024,"1565",24.66646,-80.98276
"381",2024,"1566",24.63585,-81.07132
"382",2024,"1574",25.18495,-80.24738
"383",2024,"1585",25.43797,-80.12157
"384",2024,"1615",24.60907,-81.15781
"385",2024,"1616",24.84438,-80.61662
"386",2024,"1618",24.82297,-80.65191
"387",2024,"1630",25.43166,-80.11882
"388",2024,"1641",24.93534,-80.48026
"389",2024,"1647",24.4795,-81.66627
"390",2024,"1650",24.43209,-81.98711
"391",2024,"1669",24.84353,-80.61657
"392",2024,"1671",24.86933,-80.57201
"393",2024,"1672",24.93378,-80.47624
"394",2024,"1687",25.43734,-80.11559
"395",2024,"1723",24.76756,-80.74998
"396",2024,"1747",24.48198,-81.70096
"397",2024,"1757",24.95137,-80.45888
"398",2024,"1780",24.47897,-81.71249
"399",2024,"1900",24.64956,-81.03543
"400",2024,"1901",25.62121,-80.10379
"401",2024,"1902",25.40458,-80.14378
"402",2024,"1903",25.45385,-80.12994
"403",2024,"1904",25.43694,-80.14529
"404",2024,"1905",25.36323,-80.16791
"405",2024,"1906",25.52393,-80.13129
"406",2024,"1907",25.51553,-80.1276
"407",2024,"1908",25.39833,-80.16024
"408",2024,"1909",25.61332,-80.12494
"409",2024,"1910",25.62388,-80.09934
"410",2024,"1911",25.62949,-80.10225
"411",2024,"1912",25.32405,-80.18047
"412",2024,"1913",25.56517,-80.10312
"413",2024,"1914",25.32374,-80.18326
"414",2024,"1915",25.48038,-80.11614
"415",2024,"1916",25.46918,-80.12778
"416",2024,"1917",25.46097,-80.12051
"417",2024,"1918",25.46504,-80.12836
"418",2024,"1919",25.43932,-80.12057
"419",2024,"1920",25.53217,-80.10242
"420",2024,"1921",25.37279,-80.13906
"421",2024,"1922",25.45187,-80.1227
"422",2024,"1923",25.56957,-80.10228
"423",2024,"1924",25.37166,-80.13958
"424",2024,"1925",25.62013,-80.09364
"425",2024,"1926",25.45575,-80.11504
"426",2024,"1927",25.46733,-80.11436
"427",2024,"1928",25.46172,-80.11543
"428",2024,"1929",25.39421,-80.13296
"429",2024,"1930",25.56248,-80.10524
"430",2024,"1931",25.44259,-80.11682
"431",2024,"1932",25.43863,-80.1179
"432",2024,"1933",25.55843,-80.09648
"433",2024,"1934",25.43784,-80.11659
"434",2024,"1935",25.41249,-80.12469
"435",2024,"1936",25.6146,-80.09151
"436",2024,"1937",25.60037,-80.09106
"437",2024,"1938",25.46918,-80.1096
"438",2024,"1939",25.43787,-80.11774
"439",2024,"1940",25.33746,-80.14858
"440",2024,"1941",25.37126,-80.13756
"441",2024,"1942",25.50136,-80.10164
"442",2024,"1943",25.43774,-80.11607
"443",2024,"1944",25.50514,-80.09964
